Nome;Partido;Estado;Codigo;CD01O091O008804;CD01O091O008805;CD01O091O008806;CD01O091O008807;CD01O091O008808;CD01O092E008810;CD01O092E008811;CD01O092E008812;CD01O092E008813;CD01O094O008814;CD01O094O008815;CD01O094O008817;CD01O094O008818;CD01O100O008819;CD01O109O008822;CD01O109O008823;CD01O109O008824;CD01O109O008826;CD01O110E008832;CD01O111E008835;CD01O114E008846;CD01O122O008858;CD01O122O008859;CD01O123E008860;CD01O123E008861;CD01O123E008863;CD01O123E008864;CD01O123E008865;CD01O124E008866;CD01O124E008867;CD01O124E008868;CD01O124E008869;CD01O124E008870;CD01O124E008871;CD01O124E008872;CD01O124E008873;CD01O127E008874;CD01O127E008875;CD01O127E008876;CD01O127E008877;CD01O127E008878;CD01O127E008879;CD01O127E008880;CD01O127E008881;CD01O127E008883;CD01O127E008891;CD01O128E008893;CD01O128E008894;CD01O128E008895;Lado;tsne-1d-one;tsne-2d-two
LUIS TIBÉ;Avate;Minas Gerais;251;Não;Não;Sim;Não Votou;Não Votou;Não;Sim;Sim;Sim;Não Votou;Não Votou;Não;Sim;Sim;Não Votou;Não;Não Votou;Não;Não Votou;Não Votou;Não;Não;Não Votou;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Sim;MINORIA;7.0544267;-2.889848
MAURO LOPES;MDB;Minas Gerais;252;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não;Não;Não;Não;Não Votou;Não;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Não Votou;Não;Sim;Sim;Sim;GOVERNO;-14.615807;17.092598
LEONARDO MONTEIRO;PT;Minas Gerais;253;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Sim;Obstrução;Não Votou;Obstrução;Obstrução;Sim;Não Votou;Não;Não;Não Votou;Não;Sim;Não;Não;Sim;Não Votou;Sim;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-14.082988;3.2358952
HERCÍLIO COELHO DINIZ;MDB;Minas Gerais;254;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não;Não Votou;Sim;Sim;Não;Não Votou;Não Votou;Sim;Sim;Sim;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-1.3674718;10.558368
IGOR TIMO;Podemos;Minas Gerais;255;Não;Não;Sim;Não Votou;Não;Não;Sim;Sim;Sim;Não Votou;Não Votou;Não;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Não;Não Votou;Sim;Não;Não;Não Votou;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Não Votou;Não;Não Votou;Não Votou;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;MINORIA;13.5954275;-17.641745
LAFAYETTE DE ANDRADA;PRB;Minas Gerais;256;Não Votou;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não Votou;Não;Sim;Sim;Não;Não;Não;Não;Não;Não Votou;Não;Não;Não;Não;Não Votou;Não;Não;Sim;Não;Sim;Não Votou;Não Votou;Não;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;GOVERNO;7.1298323;-14.428426
LÉO MOTTA;PSL;Minas Gerais;257;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Não;Não Votou;Não;Não;Não;Não;Não Votou;Sim;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Não Votou;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;GOVERNO;16.082586;-15.08624
LUCAS GONZALEZ;NOVO;Minas Gerais;258;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Sim;Sim;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não;Sim;Sim;Sim;GOVERNO;-6.272556;28.102972
PADRE JOÃO;PT;Minas Gerais;259;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Obstrução;Obstrução;Sim;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Não;Não;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Obstrução;Não Votou;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Não;Sim;Sim;Sim;OPOSIÇÃO;-18.577776;14.787217
PAULO GUEDES;PT;Minas Gerais;260;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Não Votou;Não;Não;Não;Não;Sim;Não;Não;Sim;Não;Não Votou;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não Votou;Sim;Não Votou;Sim;Não;Não Votou;Sim;Não;Não;Sim;OPOSIÇÃO;-8.914207;-10.676272
PINHEIRINHO;PP;Minas Gerais;261;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Não;Sim;Sim;Sim;GOVERNO;-8.184329;23.086515
ROGÉRIO CORREIA;PT;Minas Gerais;262;Obstrução;Não Votou;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Não Votou;Obstrução;Sim;Obstrução;Não Votou;Não Votou;Não Votou;Sim;Obstrução;Não;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-10.679427;-7.528422
PAULO ABI-ACKEL;PSDB;Minas Gerais;263;Não;Não;Não Votou;Não Votou;Não;Não;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não;Não Votou;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não Votou;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;GOVERNO;4.9703646;-16.496357
TIAGO MITRAUD;NOVO;Minas Gerais;264;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Sim;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Abstenção;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Não Votou;Obstrução;Não;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não;Obstrução;Obstrução;Não Votou;Não;Sim;Sim;Sim;GOVERNO;-7.57571;28.08037
VILSON DA FETAEMG;PSB;Minas Gerais;265;Não Votou;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Obstrução;Não;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Não;Sim;OPOSIÇÃO;-12.76628;-10.343359
ZÉ VITOR;PR;Minas Gerais;266;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Sim;Não;Não;Sim;Não;Não Votou;Não Votou;Sim;Não;Sim;Não Votou;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;GOVERNO;-3.3074646;-9.858686
STEFANO AGUIAR;PSD;Minas Gerais;267;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Obstrução;Não Votou;Não;Não Votou;Sim;Não;Não Votou;Não;Não;Não;Não;Não Votou;Sim;Não;Sim;Não;Não;Não Votou;Não Votou;Abstenção;Não;Sim;Sim;Sim;Não;Não Votou;Não;Não;Sim;Não;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Sim;GOVERNO;0.010516074;18.285099
RODRIGO DE CASTRO;PSDB;Minas Gerais;268;Não;Não;Sim;Não Votou;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-2.1239007;13.861151
ODAIR CUNHA;PT;Minas Gerais;269;Não Votou;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não Votou;Sim;Não;Sim;Sim;Sim;Sim;Não;Sim;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;OPOSIÇÃO;-9.52914;14.642533
WELITON PRADO;PROS;Minas Gerais;270;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não Votou;Não;Não;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não Votou;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;MINORIA;-2.4240904;-13.770071
ZÉ SILVA;Solidariedade;Minas Gerais;271;Não;Não;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não;Sim;Sim;Sim;MINORIA;-11.861762;22.487982
REGINALDO LOPES;PT;Minas Gerais;272;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Obstrução;Sim;Não Votou;Não;Obstrução;Não Votou;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Sim;Não Votou;Não Votou;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Sim;Sim;OPOSIÇÃO;-13.750378;13.462968
SUBTENENTE GONZAGA;PDT;Minas Gerais;273;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não;Não Votou;Não Votou;Sim;Sim;Não;Não;Não;Não;Não Votou;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não Votou;Sim;Não;Não;Sim;MINORIA;6.2465324;16.387146
EVAIR VIEIRA DE MELO;PP;Espírito Santo;274;Não Votou;Não Votou;Sim;Sim;Não Votou;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Não Votou;Sim;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;GOVERNO;12.8544445;-15.322575
AMARO NETO;PRB;Espírito Santo;275;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não Votou;Sim;Não Votou;Não;Sim;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;GOVERNO;9.255353;-4.8613834
DA VITÓRIA;CIDADANIA;Espírito Santo;276;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Sim;Não;Não;Não;Não;Não;Não Votou;Não Votou;Não;Não Votou;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;MINORIA;9.725151;-14.998106
DRA. SORAYA MANATO;PSL;Espírito Santo;277;Abstenção;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não Votou;Não;Não;Não Votou;Não Votou;Não;Não Votou;Não;Sim;Não;Não;Não;Não;Não;Sim;Não;Não Votou;Não;Sim;Não Votou;Não Votou;Sim;Não;Sim;Sim;Não;Sim;GOVERNO;1.1497844;20.595945
FELIPE RIGONI;PSB;Espírito Santo;278;Não Votou;Não;Sim;Sim;Não Votou;Não;Sim;Sim;Sim;Não;Não Votou;Não Votou;Sim;Sim;Não;Não;Não;Não;Não;Sim;Sim;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Abstenção;Obstrução;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Não Votou;Não;Obstrução;Não Votou;Obstrução;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Não;Sim;Sim;Sim;OPOSIÇÃO;-8.080815;26.930637
HELDER SALOMÃO;PT;Espírito Santo;279;Não Votou;Não Votou;Obstrução;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Sim;Obstrução;Não Votou;Não Votou;Obstrução;Sim;Obstrução;Não;Não;Não;Não;Sim;Não;Não;Sim;Não Votou;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;OPOSIÇÃO;-9.570017;-10.366595
LAURIETE;PR;Espírito Santo;281;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Sim;Não;Não Votou;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;GOVERNO;10.4580765;-17.619535
NORMA AYUB;DEM;Espírito Santo;282;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Não;Sim;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não;Não Votou;Sim;Obstrução;Sim;Não Votou;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Não;Obstrução;Não Votou;Obstrução;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;Sim;GOVERNO;-6.153412;24.853306
SERGIO VIDIGAL;PDT;Espírito Santo;283;Obstrução;Não Votou;Obstrução;Obstrução;Não Votou;Não Votou;Sim;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Obstrução;Obstrução;Não Votou;Obstrução;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;MINORIA;-9.859055;8.849232
ALEXANDRE SERFIOTIS;PSD;Rio de Janeiro;284;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Não Votou;Sim;Sim;Não;Não;Não;Não;Não;Sim;Não;Não;Não Votou;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;GOVERNO;8.9259815;-15.1127615
CARLOS JORDY;PSL;Rio de Janeiro;285;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não Votou;Não;Não;Não;Sim;Sim;Não Votou;Não;Não;Sim;Não Votou;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não;GOVERNO;7.05407;13.210753
ALTINEU CÔRTES;PR;Rio de Janeiro;286;Não Votou;Não;Não Votou;Não Votou;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Sim;Não Votou;Não Votou;Não;Não Votou;Não;Abstenção;Não;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Obstrução;Não Votou;Obstrução;Obstrução;Não;Não Votou;Não Votou;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Sim;GOVERNO;-8.580616;21.186565
ALESSANDRO MOLON;PSB;Rio de Janeiro;287;Obstrução;Não Votou;Obstrução;Obstrução;Não Votou;Obstrução;Não Votou;Não Votou;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Não;Sim;Não;Não Votou;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;OPOSIÇÃO;-7.8909855;-10.019475
CHIQUINHO BRAZÃO;Avate;Rio de Janeiro;288;Abstenção;Não;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Sim;Sim;Não Votou;Não;Não;Não;Não;Não;Não;Não;Não Votou;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Sim;Não;Não;Não;MINORIA;9.971436;-13.038165
CHRIS TONIETTO;PSL;Rio de Janeiro;289;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;5.5151916;12.967031
AUREO RIBEIRO;Solidariedade;Rio de Janeiro;290;Não Votou;Não;Sim;Não Votou;Não;Não Votou;Sim;Não Votou;Não Votou;Não;Não Votou;Não;Sim;Sim;Não;Não Votou;Não Votou;Não;Não;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;MINORIA;-4.2966075;12.54933
BENEDITA DA SILVA;PT;Rio de Janeiro;291;Abstenção;Não Votou;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Sim;Sim;Obstrução;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Não;Sim;Sim;Sim;OPOSIÇÃO;-12.790601;-8.079495
CHRISTINO AUREO;PP;Rio de Janeiro;292;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não Votou;Sim;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;Sim;GOVERNO;-7.306993;21.297588
CHICO D`ANGELO;PDT;Rio de Janeiro;293;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Não Votou;Obstrução;Sim;Não Votou;Não Votou;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Não;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Sim;Sim;Não Votou;MINORIA;-12.984531;10.046859
CLARISSA GAROTINHO;PROS;Rio de Janeiro;294;Não Votou;Não;Sim;Não Votou;Não;Não;Sim;Não Votou;Sim;Não;Não;Não;Sim;Sim;Não;Não;Não;Não Votou;Não;Não Votou;Sim;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Sim;Não;Não;Não;MINORIA;12.739993;-15.998913
DANIEL SILVEIRA;PSL;Rio de Janeiro;295;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Não;Não;Não Votou;Não;Não;Não;Sim;Sim;Não;Não;Não;Não Votou;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Sim;Sim;GOVERNO;16.128468;-6.5238786
DANIELA DO WAGUINHO;MDB;Rio de Janeiro;296;Não;Não;Sim;Não Votou;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não Votou;Não;Não;Não;Não;Abstenção;Não;Não;Sim;Não;Sim;Não;Sim;Não;Abstenção;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Abstenção;Não;Não;GOVERNO;7.0750732;-16.64548
DELEGADO ANTÔNIO FURTADO;PSL;Rio de Janeiro;297;Não;Não;Abstenção;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;GOVERNO;5.289777;-10.689766
DR. LUIZ ANTONIO TEIXEIRA JR.;PP;Rio de Janeiro;298;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Sim;Não Votou;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Não Votou;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não;Sim;Não;Não;Não;GOVERNO;8.796628;-16.375809
FELÍCIO LATERÇA;PSL;Rio de Janeiro;299;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não Votou;Sim;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não;Não;GOVERNO;19.156748;-16.458559
FLORDELIS;PSD;Rio de Janeiro;300;Não;Não Votou;Sim;Sim;Não;Não Votou;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Sim;Não Votou;Não;Não;Não Votou;Não;Não Votou;Sim;Não;Não;Não;Sim;Não Votou;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Não;Não;GOVERNO;15.136815;-18.579445
GELSON AZEVEDO;PR;Rio de Janeiro;301;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Obstrução;Sim;Não;Não;Não;Sim;Não Votou;Não;Sim;Não Votou;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Não Votou;Sim;Não;Não;Sim;GOVERNO;11.988039;-7.6256676
GUTEMBERG REIS;MDB;Rio de Janeiro;302;Não Votou;Não;Sim;Não Votou;Sim;Não;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Sim;Não;Não;Não;Não;Não Votou;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Sim;Não;Não;Não;GOVERNO;6.6634665;-17.973898
