Nome;Partido;Estado;Codigo;CC01O010E008955;CD01O185E008959;CD01O185E008960;CD01O187E008961;CD01O187E008962;CD01O187E008963;CD01O187E008964;CD01O187E008965;CD01O188E008966;CD01O188E008967;CD01O188E008968;CD01O189E008969;CD01O189E008970;CD01O189E008971;CD01O189E008972;CD01O191E008973;CD01O191E008974;CD01O191E008975;CD01O192E008976;CD01O192E008977;CD01O192E008978;CD01O192E008979;CD01O194E008980;CD01O194E008981;CD01O194E008982;CD01O194E008983;CD01O195E008984;CD01O195E008985;CD01O195E008986;CD01O195E008988;CD01O196E008989;CD01O196E008990;CD01O196E008991;CD01O196E008992;CD01O196E008993;Lado;tsne-1d-one;tsne-2d-two
OSSESIO SILVA;PRB;Pernambuco;152;Sim;Não Votou;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;18.118147;10.446967
RAUL HENRY;MDB;Pernambuco;153;Não Votou;Não;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;19.570143;10.390791
RENILDO CALHEIROS;PCdoB;Pernambuco;154;Obstrução;Sim;Não;Não;Não;Sim;Não;Sim;Sim;Não Votou;Não;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Não;Sim;Obstrução;Não;Não;Não;Obstrução;Não;Sim;Não;Obstrução;Sim;Não;Não;Sim;Não;Não;Não;Sim;OPOSIÇÃO;-26.912601;-12.0225115
PASTOR EURICO;Patriota;Pernambuco;155;Sim;Sim;Não;Não Votou;Não Votou;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;MINORIA;12.501343;9.872685
EDUARDO DA FONTE;PP;Pernambuco;156;Não Votou;Não Votou;Não;Não;Não;Sim;Não;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Sim;Não;Não;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-3.6802905;-3.5420737
RICARDO TEOBALDO;Podemos;Pernambuco;157;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Sim;Não;Não;Sim;Não Votou;Não Votou;Sim;Não;Não;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;MINORIA;4.237535;-4.9303
FERNANDO COELHO FILHO;DEM;Pernambuco;158;Sim;Sim;Não;Não Votou;Não;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;7.0867743;13.891195
SEBASTIÃO OLIVEIRA;PL;Pernambuco;159;Não Votou;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Não Votou;Não;Não;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;MINORIA;6.0276165;1.0156944
SILVIO COSTA FILHO;PRB;Pernambuco;160;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não Votou;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;16.904697;4.4330306
TADEU ALENCAR;PSB;Pernambuco;161;Não Votou;Sim;Não;Não;Não;Sim;Não;Sim;Sim;Não Votou;Não;Sim;Sim;Não Votou;Obstrução;Não Votou;Não;Sim;Sim;Não;Não;Não Votou;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Não Votou;Não;Não;Não;Não Votou;OPOSIÇÃO;-21.672976;-20.524136
ARTHUR LIRA;PP;Alagoas;162;Não Votou;Sim;Não Votou;Não;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não Votou;Sim;Sim;Sim;Não Votou;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;-1.6278578;-8.661898
TÚLIO GADÊLHA;PDT;Pernambuco;163;Não;Sim;Não;Não Votou;Não;Sim;Abstenção;Abstenção;Sim;Não Votou;Não;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Não;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Não Votou;Não;Não;Não Votou;Sim;MINORIA;-23.684526;-17.21135
WOLNEY QUEIROZ;PDT;Pernambuco;164;Não;Sim;Não;Não Votou;Não;Sim;Não;Sim;Não Votou;Não Votou;Não;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Não;Sim;Sim;Não;Não;Não Votou;Não Votou;Não;Sim;Não;Sim;Sim;Sim;Não;Não Votou;Não;Não;Não;Sim;MINORIA;-19.96202;-18.93204
ISNALDO BULHÕES JR.;MDB;Alagoas;165;Não Votou;Não Votou;Não;Não Votou;Não Votou;Sim;Não;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Não Votou;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;10.108552;-0.24936777
NIVALDO ALBUQUERQUE;PTB;Alagoas;166;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;13.238288;13.4388075
JHC;PSB;Alagoas;167;Sim;Não Votou;Não Votou;Não;Não;Sim;Não Votou;Sim;Não;Não Votou;Não;Não;Sim;Não Votou;Obstrução;Não Votou;Não;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Obstrução;Sim;Não;Não;Não Votou;Não;Não;Não;Sim;OPOSIÇÃO;-26.180004;-19.834059
SERGIO TOLEDO;PL;Alagoas;168;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não Votou;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;MINORIA;2.662821;-0.54052883
MARX BELTRÃO;PSD;Alagoas;169;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Não;Não;Sim;Não Votou;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;GOVERNO;-5.6541314;-10.807138
PAULÃO;PT;Alagoas;170;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Sim;Não Votou;Não;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não;Sim;Sim;Não;Não;Não;Obstrução;Não;Sim;Não;Obstrução;Sim;Não;Não;Obstrução;Não;Não;Não;Não Votou;OPOSIÇÃO;-33.919918;-15.1088505
SEVERINO PESSOA;PRB;Alagoas;172;Não Votou;Sim;Não;Não;Não Votou;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não Votou;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;15.887093;19.697302
TEREZA NELMA;PSDB;Alagoas;173;Não;Sim;Não;Não;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Não;Não Votou;Não;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;Não;Não Votou;Não;Sim;Sim;Sim;GOVERNO;-7.5502496;6.4479074
BOSCO COSTA;PL;Sergipe;174;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;MINORIA;3.6456103;-0.51751167
FÁBIO HENRIQUE;PDT;Sergipe;175;Sim;Sim;Não;Não;Não Votou;Sim;Não;Sim;Sim;Não Votou;Não;Obstrução;Obstrução;Não;Obstrução;Obstrução;Não;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;MINORIA;-21.033638;-17.052649
LAERCIO OLIVEIRA;PP;Sergipe;176;Não Votou;Sim;Não;Não Votou;Não Votou;Sim;Não Votou;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não Votou;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;7.5168185;8.643701
FÁBIO MITIDIERI;PSD;Sergipe;177;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Não;Não;Sim;Não;Não Votou;Sim;Sim;Não;Não;Não;Não;Não;Não Votou;GOVERNO;-18.634277;-10.818298
FABIO REIS;MDB;Sergipe;178;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não Votou;Não;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-10.594366;-3.7926288
JOÃO DANIEL;PT;Sergipe;179;Não;Não Votou;Obstrução;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Sim;Sim;Não;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não;Sim;Sim;Não;Não;Não;Obstrução;Não;Sim;Não;Obstrução;Sim;Não;Não;Obstrução;Não;Não;Não;Sim;OPOSIÇÃO;-35.2209;-14.744615
ALICE PORTUGAL;PCdoB;Bahia;180;Obstrução;Sim;Não;Não Votou;Não;Sim;Não;Sim;Não Votou;Sim;Não;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não;Sim;Obstrução;Não;Não;Não;Obstrução;Não;Sim;Não;Obstrução;Sim;Não;Não;Não Votou;Não;Não;Não;Sim;OPOSIÇÃO;-27.417183;-13.327234
GUSTINHO RIBEIRO;Solidariedade;Sergipe;181;Não Votou;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;MINORIA;17.187698;18.166277
AFONSO FLORENCE;PT;Bahia;182;Não;Obstrução;Não;Não Votou;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Obstrução;Não Votou;Obstrução;Obstrução;Não;Sim;Obstrução;Não;Não;Não;Obstrução;Não;Sim;Não;Não Votou;Sim;Não;Não;Obstrução;Não;Não;Não;Sim;OPOSIÇÃO;-30.344318;-11.398504
VALDEVAN NOVENTA;PSC;Sergipe;183;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Sim;Não Votou;Não;Não;Não;Abstenção;Não Votou;Não;Não;Sim;Abstenção;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Não Votou;Sim;Não;Abstenção;Não;Não;Não;Sim;GOVERNO;-21.461649;-16.277138
BACELAR;Podemos;Bahia;184;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;MINORIA;-9.580848;-12.383194
LÍDICE DA MATA;PSB;Bahia;185;Obstrução;Sim;Não;Não Votou;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Obstrução;Não Votou;Não;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Não Votou;Não;Não;Não;Sim;OPOSIÇÃO;-23.400995;-21.839525
CLAUDIO CAJADO;PP;Bahia;186;Sim;Sim;Não;Não Votou;Não Votou;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;8.971192;11.970683
JOÃO CARLOS BACELAR;PL;Bahia;187;Não Votou;Sim;Não;Não Votou;Não Votou;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;MINORIA;5.16694;4.86834
DANIEL ALMEIDA;PCdoB;Bahia;188;Obstrução;Sim;Não Votou;Não;Não;Sim;Não;Sim;Sim;Não Votou;Não;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não;Sim;Não Votou;Não;Não;Não;Obstrução;Não;Sim;Não;Obstrução;Sim;Não;Não;Sim;Não;Não;Não;Sim;OPOSIÇÃO;-26.806084;-14.174028
ANTONIO BRITO;PSD;Bahia;189;Sim;Não Votou;Não;Não Votou;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não Votou;Sim;Não;Não;Não;Sim;Não;Não Votou;Não;Sim;Sim;Sim;GOVERNO;-0.8257108;0.59956276
ABÍLIO SANTANA;PL;Bahia;190;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Não Votou;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Não Votou;Não;Não Votou;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;MINORIA;5.0696816;0.7820952
ADOLFO VIANA;PSDB;Bahia;191;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;15.864655;11.3342705
ARTHUR OLIVEIRA MAIA;DEM;Bahia;192;Sim;Sim;Não;Não Votou;Não Votou;Sim;Não;Não Votou;Não;Não Votou;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Não Votou;Não;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;8.975975;13.218811
CACÁ LEÃO;PP;Bahia;193;Sim;Sim;Não;Não;Não;Sim;Não Votou;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não Votou;Sim;Não Votou;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;8.776671;6.119486
ALEX SANTANA;PDT;Bahia;194;Não Votou;Sim;Não;Não Votou;Não;Sim;Não Votou;Sim;Não;Não;Sim;Não;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Sim;Sim;Abstenção;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Sim;Não;Não;Não;Não;Não;Sim;MINORIA;-17.657688;-10.828927
FÉLIX MENDONÇA JÚNIOR;PDT;Bahia;195;Não Votou;Sim;Não;Não;Não;Sim;Não Votou;Sim;Sim;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Sim;Não;Não Votou;Não;Não;Não;Sim;MINORIA;-21.565678;-19.236645
CHARLES FERNANDES;PSD;Bahia;196;Sim;Não Votou;Não;Não;Não;Sim;Não Votou;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;GOVERNO;-1.5394099;4.1846485
IGOR KANNÁRIO;PHS;Bahia;197;Sim;Sim;Não;Não Votou;Não;Sim;Não Votou;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-10.817773;-6.149503
ELMAR NASCIMENTO;DEM;Bahia;198;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Sim;Não;Não Votou;Sim;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Sim;Sim;Não Votou;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;5.217368;8.064372
JOÃO ROMA;PRB;Bahia;199;Sim;Sim;Não;Não Votou;Não Votou;Sim;Não Votou;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;8.340397;11.734635
LEUR LOMANTO JÚNIOR;DEM;Bahia;200;Sim;Sim;Não;Não Votou;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Não Votou;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;9.812565;13.801112
JOSÉ NUNES;PSD;Bahia;201;Não Votou;Não Votou;Não;Não;Não;Sim;Não Votou;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não Votou;Não;Sim;Sim;Sim;GOVERNO;-3.778192;3.054193
JOSÉ ROCHA;PL;Bahia;203;Sim;Sim;Não;Não Votou;Não Votou;Sim;Não Votou;Sim;Não;Não;Sim;Não Votou;Não;Não Votou;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;MINORIA;4.500868;-3.320883
JORGE SOLLA;PT;Bahia;204;Não;Sim;Não;Não Votou;Não;Sim;Não;Sim;Sim;Não Votou;Não;Obstrução;Sim;Obstrução;Obstrução;Não Votou;Não;Sim;Obstrução;Não;Não;Não;Obstrução;Não Votou;Não Votou;Não Votou;Obstrução;Sim;Não;Não;Obstrução;Não;Não;Não;Sim;OPOSIÇÃO;-27.228292;-10.728175
MARCELO NILO;PSB;Bahia;205;Obstrução;Sim;Não;Não;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Obstrução;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Obstrução;Sim;Não;Não;Não Votou;Não;Não;Não;Sim;OPOSIÇÃO;-24.164267;-21.922249
OTTO ALENCAR FILHO;PSD;Bahia;206;Não Votou;Não Votou;Não;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Sim;Sim;Sim;GOVERNO;-3.4784117;2.378217
PASTOR SARGENTO ISIDÓRIO;Avate;Bahia;207;Abstenção;Sim;Não;Não Votou;Não;Sim;Não;Sim;Não;Não Votou;Não;Não;Não;Não Votou;Sim;Não Votou;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não Votou;Não;Sim;Sim;Sim;MINORIA;-9.260478;3.1605518
MÁRIO NEGROMONTE JR.;PP;Bahia;208;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Sim;Não;Não Votou;Sim;Não;Não;Não Votou;Não;Não;Não;Sim;GOVERNO;-22.046778;-10.822113
NELSON PELLEGRINO;PT;Bahia;209;Não;Sim;Obstrução;Não Votou;Não;Sim;Não;Sim;Sim;Não Votou;Não;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não;Sim;Obstrução;Não;Não;Não;Obstrução;Não;Sim;Não;Obstrução;Sim;Não;Não;Não Votou;Não;Não;Não;Sim;OPOSIÇÃO;-27.551914;-13.142681
PROFESSORA DAYANE PIMENTEL;PSL;Bahia;210;Sim;Sim;Não;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;12.612766;10.998582
RAIMUNDO COSTA;PL;Bahia;211;Sim;Não Votou;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Sim;Sim;Sim;MINORIA;-1.5198969;0.015309341
MÁRCIO MARINHO;PRB;Bahia;212;Sim;Não Votou;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não Votou;Não Votou;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;18.153002;10.508158
TITO;Avate;Bahia;214;Sim;Sim;Não;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não Votou;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;MINORIA;-6.817709;8.765463
PAULO AZI;DEM;Bahia;215;Sim;Sim;Não Votou;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Não;Não Votou;Não Votou;Não;Não;Sim;Não Votou;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Não Votou;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;15.189732;5.1687174
RONALDO CARLETTO;PP;Bahia;216;Sim;Sim;Não;Não;Não;Sim;Não Votou;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não Votou;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;9.1500635;5.0865293
ZÉ NETO;PT;Bahia;217;Não;Não Votou;Obstrução;Não Votou;Não Votou;Sim;Não;Sim;Sim;Não Votou;Não;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Não;Sim;Sim;Não;Não;Não;Obstrução;Não;Sim;Não;Obstrução;Sim;Não;Não;Não Votou;Não;Não;Não;Sim;OPOSIÇÃO;-28.886202;-15.286683
VALMIR ASSUNÇÃO;PT;Bahia;218;Não;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Obstrução;Sim;Sim;Sim;Não;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não;Sim;Obstrução;Não;Não;Não;Obstrução;Não;Sim;Não;Obstrução;Sim;Não;Não;Obstrução;Não;Não;Não;Sim;OPOSIÇÃO;-31.370836;-12.308484
WALDENOR PEREIRA;PT;Bahia;219;Não Votou;Obstrução;Obstrução;Não Votou;Não;Sim;Não;Sim;Sim;Sim;Não;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Não;Sim;Sim;Não;Não;Não;Obstrução;Não;Sim;Não;Obstrução;Sim;Não;Não;Obstrução;Não;Não;Não;Sim;OPOSIÇÃO;-29.823803;-16.111803
ULDURICO JUNIOR;PROS;Bahia;220;Não Votou;Sim;Não;Não;Não Votou;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não Votou;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;MINORIA;20.686071;4.363876
AÉCIO NEVES;PSDB;Minas Gerais;221;Não Votou;Não Votou;Não;Não;Não;Sim;Não;Sim;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Sim;Não;Não Votou;Sim;Não Votou;Não;Sim;Sim;Sim;Não Votou;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;12.944716;1.1957597
ALÊ SILVA;PSL;Minas Gerais;222;Sim;Sim;Não;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;-12.00787;-3.7707748
ANDRÉ JANONES;Avate;Minas Gerais;223;Não;Não;Sim;Sim;Sim;Não;Sim;Não;Sim;Não Votou;Não;Sim;Sim;Não;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Não Votou;Não;Não;Não;Sim;MINORIA;-21.629107;-27.993902
ÁUREA CAROLINA;PSOL;Minas Gerais;224;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Não;Sim;Sim;Não;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Obstrução;Não;Não;Não;Não Votou;Não;Sim;Não;Obstrução;Sim;Não;Não;Obstrução;Não;Não;Não;Sim;OPOSIÇÃO;-33.254684;-9.618556
CABO JUNIO AMARAL;PSL;Minas Gerais;225;Sim;Sim;Não;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;12.939172;10.700679
CHARLLES EVANGELISTA;PSL;Minas Gerais;226;Sim;Não;Não;Não Votou;Não;Sim;Não;Não;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;24.85738;2.0492547
DELEGADO MARCELO FREITAS;PSL;Minas Gerais;227;Sim;Sim;Não;Não;Não Votou;Sim;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;17.12526;7.481159
