Nome;Partido;Estado;Codigo;CC01O007E008923;CD01O137E008915;CD01O137E008916;CD01O137E008917;CD01O137E008918;CD01O137E008919;CD01O137E008920;CD01O137E008921;CD01O137E008922;CD01O155E008925;CD01O155E008927;CD01O166O008930;CD01O166O008934;CD01O167E008936;CD01O170O008943;CD01O170O008950;CD01O171E008952;SF01O007E008924;Lado;tsne-1d-one;tsne-2d-two
MARCELO ARO;PP;Minas Gerais;236;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Não Votou;Não;Não Votou;Não;Não Votou;Não Votou;Sim;Sim;;GOVERNO;11.745442;24.227251
MARGARIDA SALOMÃO;PT;Minas Gerais;237;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Obstrução;Não Votou;Não;Não;Sim;Não;Sim;Sim;;OPOSIÇÃO;7.504572;16.343973
FÁBIO RAMALHO;MDB;Minas Gerais;238;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Sim;Não;Sim;Não;Sim;Não Votou;Não Votou;Sim;Não Votou;Sim;Não Votou;;GOVERNO;-0.7245023;15.408694
MÁRIO HERINGER;PDT;Minas Gerais;239;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;MINORIA;-11.438663;-13.689993
EUCLYDES PETTERSEN;PSC;Minas Gerais;240;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não;Sim;Não;Não Votou;Não;;GOVERNO;7.767944;-5.6000223
FRANCO CARTAFINA;PP;Minas Gerais;241;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Sim;Sim;;GOVERNO;12.104303;17.112795
EROS BIONDINI;PROS;Minas Gerais;242;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não;Não;Não Votou;Não Votou;Não Votou;;MINORIA;15.674108;-4.0863304
LINCOLN PORTELA;PL;Minas Gerais;243;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;;MINORIA;15.597651;19.154684
FRED COSTA;Patriota;Minas Gerais;244;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;MINORIA;7.1175413;-9.435611
MISAEL VARELLA;PSD;Minas Gerais;245;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não Votou;Não;Não;Sim;Não;Não;Não;;GOVERNO;6.3988185;-8.375474
GILBERTO ABRAMO;PRB;Minas Gerais;246;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Não;Sim;Não Votou;;GOVERNO;7.4870934;18.540598
NEWTON CARDOSO JR;MDB;Minas Gerais;247;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;GOVERNO;-4.55745;5.6238966
GREYCE ELIAS;Avate;Minas Gerais;248;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não Votou;Não Votou;Não Votou;Não;Não;;MINORIA;10.093183;-9.744739
PATRUS ANANIAS;PT;Minas Gerais;249;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;OPOSIÇÃO;-10.184353;-14.73175
JÚLIO DELGADO;PSB;Minas Gerais;250;Não Votou;Sim;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Não;Obstrução;Não;Não;Não Votou;Não Votou;Sim;Sim;;OPOSIÇÃO;-15.957258;-21.825863
LUIS TIBÉ;Avate;Minas Gerais;251;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não Votou;Sim;Não Votou;;MINORIA;-9.954125;4.8893127
MAURO LOPES;MDB;Minas Gerais;252;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;;GOVERNO;-9.367083;1.361494
LEONARDO MONTEIRO;PT;Minas Gerais;253;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Não Votou;Obstrução;Obstrução;Não Votou;Não;Sim;Não;Sim;Sim;;OPOSIÇÃO;-19.985966;-19.335205
HERCÍLIO COELHO DINIZ;MDB;Minas Gerais;254;Sim;Sim;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Sim;Não;Não Votou;Não;Não;Sim;Não Votou;Sim;Sim;;GOVERNO;0.526822;12.613435
IGOR TIMO;Podemos;Minas Gerais;255;Sim;Sim;Não Votou;Não Votou;Sim;Não Votou;Não;Não Votou;Sim;Não;Não;Não Votou;Não;Sim;Não Votou;Sim;Sim;;MINORIA;-19.411583;-17.623062
LAFAYETTE DE ANDRADA;PRB;Minas Gerais;256;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Não;Sim;Sim;;GOVERNO;6.3668594;18.882135
LÉO MOTTA;PSL;Minas Gerais;257;Sim;Sim;Não Votou;Sim;Sim;Sim;Sim;Abstenção;Sim;Não;Não;Não Votou;Obstrução;Sim;Não;Não Votou;Não;;GOVERNO;7.5318074;-4.629788
LUCAS GONZALEZ;NOVO;Minas Gerais;258;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não;Sim;Sim;Não;Não;Não;Não;;GOVERNO;19.005138;-13.345797
PADRE JOÃO;PT;Minas Gerais;259;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não;Não;Sim;Não Votou;Sim;Sim;;OPOSIÇÃO;-17.833862;-20.756449
PAULO GUEDES;PT;Minas Gerais;260;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Sim;Obstrução;Obstrução;Não;Não;Sim;Não;Sim;Sim;;OPOSIÇÃO;-21.309284;-21.210499
PINHEIRINHO;PP;Minas Gerais;261;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não Votou;Não;Sim;Não;;GOVERNO;17.169945;8.355129
ROGÉRIO CORREIA;PT;Minas Gerais;262;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Sim;Obstrução;Obstrução;Não Votou;Não;Sim;Não Votou;Sim;Sim;;OPOSIÇÃO;-18.980585;-19.365408
PAULO ABI-ACKEL;PSDB;Minas Gerais;263;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Sim;;GOVERNO;3.282171;20.533417
TIAGO MITRAUD;NOVO;Minas Gerais;264;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;;GOVERNO;17.944044;-16.62928
VILSON DA FETAEMG;PSB;Minas Gerais;265;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Não Votou;Sim;Abstenção;Obstrução;Não;Não;Sim;Sim;Sim;Sim;;OPOSIÇÃO;-15.1003065;-22.737736
ZÉ VITOR;PL;Minas Gerais;266;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Sim;Sim;;MINORIA;12.185922;16.143778
STEFANO AGUIAR;PSD;Minas Gerais;267;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Sim;Sim;;GOVERNO;10.852476;15.140257
RODRIGO DE CASTRO;PSDB;Minas Gerais;268;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;;GOVERNO;13.681346;20.631634
ODAIR CUNHA;PT;Minas Gerais;269;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Não;Sim;Sim;;OPOSIÇÃO;-20.306444;-24.09747
WELITON PRADO;PROS;Minas Gerais;270;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Não;Sim;Sim;;MINORIA;-20.547443;-22.522003
ZÉ SILVA;Solidariedade;Minas Gerais;271;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não;Não;Não;Não;Sim;Não Votou;Sim;Sim;;MINORIA;15.572576;16.380167
REGINALDO LOPES;PT;Minas Gerais;272;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Sim;;OPOSIÇÃO;-18.202124;-25.043877
SUBTENENTE GONZAGA;PDT;Minas Gerais;273;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não;Não;Sim;Não;Obstrução;Não Votou;Não Votou;Sim;Obstrução;Sim;Sim;;MINORIA;-23.728868;-17.978254
EVAIR VIEIRA DE MELO;PP;Espírito Santo;274;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não;Sim;Não Votou;Sim;Sim;;GOVERNO;14.179326;22.048552
AMARO NETO;PRB;Espírito Santo;275;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não Votou;Não;Não Votou;Não Votou;Não;Sim;Sim;;GOVERNO;9.417286;12.010996
DA VITÓRIA;CIDADANIA;Espírito Santo;276;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Não;Sim;Não Votou;;MINORIA;7.486751;18.540083
DRA. SORAYA MANATO;PSL;Espírito Santo;277;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Não;Não;Não;Não;;GOVERNO;21.436201;-9.707877
FELIPE RIGONI;PSB;Espírito Santo;278;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não Votou;Não;Não;Sim;Não;Não Votou;Não;;OPOSIÇÃO;14.142944;6.4632416
HELDER SALOMÃO;PT;Espírito Santo;279;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Não;Não;Sim;Não Votou;Obstrução;Não;Não Votou;Sim;Não;Sim;Sim;;OPOSIÇÃO;-23.02588;-19.163292
LAURIETE;PL;Espírito Santo;281;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Sim;Sim;;MINORIA;12.719876;16.52058
NORMA AYUB;DEM;Espírito Santo;282;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não Votou;Sim;Não Votou;Sim;Sim;;GOVERNO;14.946517;22.112722
SERGIO VIDIGAL;PDT;Espírito Santo;283;Não Votou;Sim;Não Votou;Sim;Não Votou;Sim;Não;Não;Sim;Obstrução;Obstrução;Não;Não Votou;Sim;Não Votou;Não;Sim;;MINORIA;-13.626689;-17.504984
ALEXANDRE SERFIOTIS;PSD;Rio de Janeiro;284;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;GOVERNO;9.260344;0.7747432
CARLOS JORDY;PSL;Rio de Janeiro;285;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Obstrução;Não;Não;Não;Não;;GOVERNO;17.086985;-9.092326
ALTINEU CÔRTES;PL;Rio de Janeiro;286;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não Votou;Não;Não Votou;Sim;Não Votou;Não Votou;Sim;;MINORIA;12.163534;3.6806386
ALESSANDRO MOLON;PSB;Rio de Janeiro;287;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não Votou;Não Votou;Sim;Sim;Não;Não;;OPOSIÇÃO;-7.359842;-17.202888
CHIQUINHO BRAZÃO;Avate;Rio de Janeiro;288;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não Votou;Sim;Sim;;MINORIA;0.38809216;11.250671
CHRIS TONIETTO;PSL;Rio de Janeiro;289;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Sim;Não;Não;Não;Não;;GOVERNO;19.971464;-12.432271
AUREO RIBEIRO;Solidariedade;Rio de Janeiro;290;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Sim;;MINORIA;-6.9879537;10.7485695
BENEDITA DA SILVA;PT;Rio de Janeiro;291;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não Votou;Obstrução;Obstrução;Não;Não;Sim;Não Votou;Sim;Sim;;OPOSIÇÃO;-17.439402;-21.613243
CHRISTINO AUREO;PP;Rio de Janeiro;292;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Sim;;GOVERNO;16.7832;0.38223588
CHICO D`ANGELO;PDT;Rio de Janeiro;293;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não Votou;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Sim;;MINORIA;-14.173297;-14.819731
CLARISSA GAROTINHO;PROS;Rio de Janeiro;294;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não;Não;Não Votou;Não;Sim;Não;Não Votou;Sim;;MINORIA;-2.5390885;9.280115
DANIEL SILVEIRA;PSL;Rio de Janeiro;295;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Obstrução;Não;Não;Não;Não;;GOVERNO;17.089245;-9.094723
DANIELA DO WAGUINHO;MDB;Rio de Janeiro;296;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não;Não Votou;Sim;Não;Sim;Sim;;GOVERNO;3.9078197;18.59343
DELEGADO ANTÔNIO FURTADO;PSL;Rio de Janeiro;297;Sim;Sim;Não Votou;Sim;Sim;Não Votou;Sim;Não;Sim;Não;Não;Não Votou;Não;Abstenção;Não;Não;Abstenção;;GOVERNO;14.132866;-8.656285
DR. LUIZ ANTONIO TEIXEIRA JR.;PP;Rio de Janeiro;298;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Não;Sim;Não Votou;Não;Sim;;GOVERNO;-16.017958;1.6381401
FELÍCIO LATERÇA;PSL;Rio de Janeiro;299;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não Votou;Não Votou;Não;Não;Não;;GOVERNO;-9.263076;-2.1458745
FLORDELIS;PSD;Rio de Janeiro;300;Sim;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;GOVERNO;6.7243285;2.8674083
GELSON AZEVEDO;PL;Rio de Janeiro;301;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Não;Não;Sim;Não;Sim;Sim;;MINORIA;14.491254;15.309728
GUTEMBERG REIS;MDB;Rio de Janeiro;302;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Não;Não;Não;Não;Não Votou;Não;Sim;Sim;;GOVERNO;10.38827;16.553038
HELIO LOPES;PSL;Rio de Janeiro;303;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;GOVERNO;11.912054;0.61008525
GLAUBER BRAGA;PSOL;Rio de Janeiro;304;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não;Não;Sim;Obstrução;Obstrução;Não;;OPOSIÇÃO;-4.176461;-18.203104
JANDIRA FEGHALI;PCdoB;Rio de Janeiro;305;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Não;Sim;Não;Não Votou;Sim;;OPOSIÇÃO;-24.781624;-21.66782
HUGO LEAL;PSD;Rio de Janeiro;306;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Sim;Não;Sim;Não Votou;Não;Não;Não Votou;Sim;Não;Sim;Sim;;GOVERNO;0.71336204;18.281893
JUNINHO DO PNEU;DEM;Rio de Janeiro;308;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Não;Não;Sim;Não;Sim;Não Votou;;GOVERNO;15.485075;12.875528
LOURIVAL GOMES;PSL;Rio de Janeiro;309;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Obstrução;Não;Não;Não;Não;;GOVERNO;17.320919;-7.880162
LUIZ ANTÔNIO CORRÊA;S.Part.;Rio de Janeiro;310;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Sim;Sim;;MINORIA;6.051059;21.996075
LUIZ LIMA;PSL;Rio de Janeiro;311;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Sim;Não;Não;Não;Não;;GOVERNO;20.45424;-11.607949
MAJOR FABIANA;PSL;Rio de Janeiro;312;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;GOVERNO;7.61504;3.4518926
MARCELO CALERO;CIDADANIA;Rio de Janeiro;313;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não;Sim;Não Votou;Não;Não Votou;;MINORIA;10.446771;-7.702621
PEDRO PAULO;DEM;Rio de Janeiro;314;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Sim;Não;Sim;Sim;;GOVERNO;-13.811191;8.055516
MARCELO FREIXO;PSOL;Rio de Janeiro;315;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não;Não;Sim;Obstrução;Obstrução;Não;;OPOSIÇÃO;-4.1771364;-18.203928
MÁRCIO LABRE;PSL;Rio de Janeiro;316;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Sim;Não;Não;Sim;Sim;Não;Não;Não;Não;;GOVERNO;20.075518;-13.593151
OTONI DE PAULA;PSC;Rio de Janeiro;317;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Não;Não Votou;Art.;Não;Não;Não Votou;;GOVERNO;13.196609;-2.510769
PAULO GANIME;NOVO;Rio de Janeiro;318;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Sim;Não;Não;Não;Não;;GOVERNO;16.891426;-16.940102
PAULO RAMOS;PDT;Rio de Janeiro;319;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Sim;Não Votou;Não Votou;Não;Não Votou;Não Votou;Obstrução;Obstrução;Sim;;MINORIA;-14.674719;-12.18398
PROFESSOR JOZIEL;PSL;Rio de Janeiro;320;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;;GOVERNO;17.956837;-8.805381
GURGEL;PSL;Rio de Janeiro;321;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Obstrução;Não;Não;Não;Não;;GOVERNO;17.320704;-7.8782263
RODRIGO MAIA;DEM;Rio de Janeiro;322;Não Votou;Art.;Sim;Art.;Art.;Art.;Sim;Art.;Sim;Não Votou;Não Votou;Art.;Não Votou;Não Votou;Art.;Art.;Não Votou;;GOVERNO;-5.631663;4.722664
TALÍRIA PETRONE;PSOL;Rio de Janeiro;323;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Não;Não;Sim;Obstrução;Não Votou;Não;;OPOSIÇÃO;-10.645133;-0.2581771
VINICIUS FARAH;MDB;Rio de Janeiro;324;Não Votou;Não Votou;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Sim;Sim;;GOVERNO;8.000606;21.877966
ROSANGELA GOMES;PRB;Rio de Janeiro;325;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não;Não Votou;Sim;Não;Sim;Sim;;GOVERNO;4.902641;17.55509
WLADIMIR GAROTINHO;PSD;Rio de Janeiro;327;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Sim;Não;Não Votou;Não;Não;Não;Não;Não;Sim;Não;Sim;;GOVERNO;6.288781;-1.0303866
SORAYA SANTOS;PL;Rio de Janeiro;328;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Art.;Art.;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;MINORIA;-8.598097;3.2627802
SÓSTENES CAVALCANTE;DEM;Rio de Janeiro;329;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não Votou;Não Votou;Não;Sim;Não;Sim;Sim;;GOVERNO;-14.180682;10.122622
RENATA ABREU;Podemos;São Paulo;330;Sim;Não Votou;Não Votou;Não Votou;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Sim;;MINORIA;-8.763344;7.9324975
ALEX MANENTE;CIDADANIA;São Paulo;331;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Não;Não;Não Votou;;MINORIA;3.8523972;-8.706411
ABOU ANNI;PSL;São Paulo;332;Sim;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;;GOVERNO;16.300266;-9.384083
ADRIANA VENTURA;NOVO;São Paulo;333;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Sim;Não;Não Votou;Não;Não;;GOVERNO;19.130253;-11.965113
ALEXANDRE LEITE;DEM;São Paulo;334;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;;GOVERNO;14.045932;20.350443
BRUNA FURLAN;PSDB;São Paulo;335;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não;Sim;Não;;GOVERNO;-11.013114;3.105928
ARLINDO CHINAGLIA;PT;São Paulo;336;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Não Votou;Não Votou;Não;Não Votou;Sim;Não Votou;Sim;Sim;;OPOSIÇÃO;-18.662079;-25.296846
ALENCAR SANTANA BRAGA;PT;São Paulo;337;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Não Votou;Não Votou;Sim;Não;Sim;Não Votou;;OPOSIÇÃO;-13.456921;5.1714144
CARLOS SAMPAIO;PSDB;São Paulo;338;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não Votou;Não;Não;Sim;Não;Não Votou;Não Votou;;GOVERNO;13.418209;6.3100047
ARNALDO JARDIM;CIDADANIA;São Paulo;339;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não;Não;Sim;Não Votou;;MINORIA;-11.17792;3.2394319
ALEXANDRE FROTA;PSL;São Paulo;340;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não Votou;Não Votou;Não;Sim;Sim;;GOVERNO;10.674463;13.575001
ALEXANDRE PADILHA;PT;São Paulo;341;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Não Votou;Não;Não;Sim;Não;Sim;Não Votou;;OPOSIÇÃO;-22.408953;-23.531597
BALEIA ROSSI;MDB;São Paulo;342;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Não Votou;Não Votou;;GOVERNO;-2.3150754;6.8675723
ALEXIS FONTEYNE;NOVO;São Paulo;343;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não;Sim;Sim;Não;Não;Não;Não;;GOVERNO;19.005959;-13.347113
GUILHERME DERRITE;PP;São Paulo;344;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;GOVERNO;7.0609174;-9.613153
ELI CORRÊA FILHO;DEM;São Paulo;345;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Sim;Não;Sim;Não Votou;;GOVERNO;-7.503815;7.7393384
CAPITÃO AUGUSTO;PL;São Paulo;346;Não Votou;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Sim;Não;Não Votou;Não;Não;Sim;Não;Sim;Não;;MINORIA;15.419935;7.3468876
CELSO RUSSOMANNO;PRB;São Paulo;347;Sim;Sim;Não Votou;Sim;Sim;Não Votou;Sim;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Não Votou;Não;;GOVERNO;3.9421787;-3.2951205
GUILHERME MUSSI;PP;São Paulo;348;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não;Não Votou;Não Votou;;GOVERNO;-9.9719715;3.2220697
JEFFERSON CAMPOS;PSB;São Paulo;349;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não;Sim;Não Votou;Não Votou;Sim;;OPOSIÇÃO;14.032518;23.795467
CARLA ZAMBELLI;PSL;São Paulo;350;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não;Não Votou;Não;Não Votou;Não Votou;Não;;GOVERNO;-2.8872645;2.1683848
CEZINHA DE MADUREIRA;PSD;São Paulo;351;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;;GOVERNO;3.7989795;3.9960463
EDUARDO BOLSONARO;PSL;São Paulo;352;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Abstenção;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;GOVERNO;11.91263;0.6135746
